article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce,money_rub_day,money_dol_day,sec_rub,sec_dol,area,diagonal,diag_in,pixels,diagonal_pixels,ppi,Pixel_Density,Plotn_Town,tchel_Town,km2_Town,scr_dol,Life_Time_Months,payback_Months,profit_Months,profit_Total,sum_1_m
Belgorod001,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/belgorodskiy-87-tts-tsentralnyy,3,4,720,576,Belgorodskij; 87 (TTs "Tsentral'nyj"),26035,10,192,30,53477215,Svetodiodnyj ekran,867.83,13.71,0.452,0.007,12.0,5.0,196.85,414720.0,922.05,4.68,34560.0,2219.34,356426,160.6,12627.75,694.44,30.7,663.74,260369.5,1052.31
Belgorod002,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/svyato-troitskiy-bulvar-17-tts-slavyanskiy,3,4,720,576,Svjato-Troitskij bul'var; 17 (TTs "Slavjanskij"),19284,10,192,30,53477215,Svetodiodnyj ekran,642.8,10.16,0.335,0.005,12.0,5.0,196.85,414720.0,922.05,4.68,34560.0,2219.34,356426,160.6,12627.75,694.44,41.43,653.01,186411.17,1052.31
Belgorod003,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/50-letiya-belgorodskoy-oblasti-11-univermag-mayak,3,4,720,576,50-letija Belgorodskoj oblasti; 11 (Univermag "Majak"),19515,10,192,30,53477215,Svetodiodnyj ekran,650.5,10.28,0.339,0.005,12.0,5.0,196.85,414720.0,922.05,4.68,34560.0,2219.34,356426,160.6,12627.75,694.44,40.95,653.5,188911.17,1052.31
Belgorod004,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/vokzalnaya-2-tts-vokzalnyy,3,4,720,576,Vokzal'naja; 2 (TTs "Vokzal'nyj"),17695,10,192,30,53477215,Svetodiodnyj ekran,589.83,9.32,0.307,0.005,12.0,5.0,196.85,414720.0,922.05,4.68,34560.0,2219.34,356426,160.6,12627.75,694.44,45.16,649.28,168911.17,1052.31
Belgorod005,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/gubkina-17r-tts-semeynyy,3,6,780,360,Gubkina; 17R (TTs "Semejnyj"),21427,10,192,30,53477215,Svetodiodnyj ekran,714.23,11.28,0.372,0.006,18.0,6.71,264.1,280800.0,859.07,3.25,15600.0,2219.34,356426,160.6,18382.5,694.44,54.32,640.12,198235.0,1021.25
Belgorod006,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/koroleva-9a-gipermarket-liniya,3,4,720,576,Koroleva; 9A (Gipermarket "Linija"),20546,10,192,30,53477215,Svetodiodnyj ekran,684.87,10.82,0.357,0.006,12.0,5.0,196.85,414720.0,922.05,4.68,34560.0,2219.34,356426,160.6,12627.75,694.44,38.9,655.54,200161.17,1052.31
Belgorod007,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-164-trts-rio,6,4,512,384,Bogdana Hmel'nitskogo; 164 (TRTs "RIO"),21249,10,192,30,53477215,Svetodiodnyj ekran,708.3,11.19,0.369,0.006,24.0,7.21,283.9,196608.0,640.0,2.25,8192.0,2219.34,356426,160.6,90879.0,694.44,270.71,423.73,51367.0,3786.62
Belgorod008,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/shchorsa-64-mtrk-siti-moll,6,12,704,384,Schorsa; 64 (MTRK "Siti Moll"),15667,10,192,30,53477215,Svetodiodnyj ekran,522.23,8.25,0.272,0.004,72.0,13.42,528.21,270336.0,801.92,1.52,3754.67,2219.34,356426,160.6,272637.0,694.44,1101.56,-407.12,-373399.0,3786.62
Belgorod009,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/shchorsa-3,3,6,576,288,Schorsa; 3,25080,10,450,30,53477215,Svetodiodnyj ekran,836.0,13.21,0.186,0.003,18.0,6.71,264.1,165888.0,643.99,2.44,9216.0,2219.34,356426,160.6,68159.25,694.44,171.99,522.46,138889.83,3786.62
Belgorod010,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-belgorodskiy,6,4,512,384,Bogdana Hmel'nitskogo-Belgorodskij,25080,10,450,30,53477215,Svetodiodnyj ekran,836.0,13.21,0.186,0.003,24.0,7.21,283.9,196608.0,640.0,2.25,8192.0,2219.34,356426,160.6,90879.0,694.44,229.32,465.13,93450.33,3786.62
Belgorod011,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/vatutina-4-novyy-most,9,6,720,480,Vatutina; 4 (Novyj most),24400,10,270,30,53477215,Svetodiodnyj ekran,813.33,12.85,0.301,0.005,54.0,10.82,425.85,345600.0,865.33,2.03,6400.0,2219.34,356426,160.6,204477.75,694.44,530.42,164.02,-141247.17,3786.62
Belgorod012,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-107-stadion-energomash,7,5,720,360,Bogdana Hmel'nitskogo; 107 (stadion "Energomash"),24400,10,270,30,53477215,Svetodiodnyj ekran,813.33,12.85,0.301,0.005,35.0,8.6,338.67,259200.0,804.98,2.38,7405.71,2219.34,356426,160.6,132531.88,694.44,343.79,350.65,2644.58,3786.62
Belgorod013,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-137t-trk-megagrinn,7,5,720,360,Bogdana Hmel'nitskogo; 137T (TRK "Megagrinn"),24400,10,270,30,53477215,Svetodiodnyj ekran,813.33,12.85,0.301,0.005,35.0,8.6,338.67,259200.0,804.98,2.38,7405.71,2219.34,356426,160.6,132531.88,694.44,343.79,350.65,2644.58,3786.62
Belgorod014,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/popova-34-univermag-belgorod,10,5,720,576,Popova; 34 (Univermag "Belgorod"),24400,10,270,30,53477215,Svetodiodnyj ekran,813.33,12.85,0.301,0.005,50.0,11.18,440.17,414720.0,922.05,2.09,8294.4,2219.34,356426,160.6,189331.25,694.44,491.13,203.31,-110954.17,3786.62
Belgorod015,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/korochanskaya-132g,3,4,720,576,Korochanskaja; 132G,10750,10,200,30,53477215,Svetodiodnyj ekran,358.33,5.66,0.179,0.003,12.0,5.0,196.85,414720.0,922.05,4.68,34560.0,2219.34,356426,160.6,12627.75,694.44,74.37,620.08,92661.17,1052.31
Vladivostok002,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/svetlanskaya-106-tts-avangard,6,4,384,256,Svetlanskaja; 106 (TTs "Avangard"),9901,10,225,7,53477215,Svetodiodnyj ekran,1414.43,22.35,0.629,0.01,24.0,7.21,283.9,98304.0,461.51,1.63,4096.0,1787.86,592069,331.16,90879.0,694.44,135.54,558.91,283867.0,3786.62
Vladivostok003,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/aleutskaya-45,5,4,480,384,Aleutskaja; 45,10360,10,225,7,53477215,Svetodiodnyj ekran,1480.0,23.38,0.658,0.01,20.0,6.4,252.09,184320.0,614.7,2.44,9216.0,1787.86,592069,331.16,75732.5,694.44,107.97,586.47,335618.33,3786.62
Vladivostok004,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/russkaya-87a-tts-rossiyanka,5,4,480,384,Russkaja; 87a (TTs "Rossijanka"),9901,10,240,7,53477215,Svetodiodnyj ekran,1414.43,22.35,0.589,0.009,20.0,6.4,252.09,184320.0,614.7,2.44,9216.0,1787.86,592069,331.16,75732.5,694.44,112.95,581.5,314160.0,3786.62
Vladivostok005,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/nekrasovskaya-52a,5,4,480,384,Nekrasovskaja; 52A,9901,10,240,7,53477215,Svetodiodnyj ekran,1414.43,22.35,0.589,0.009,20.0,6.4,252.09,184320.0,614.7,2.44,9216.0,1787.86,592069,331.16,75732.5,694.44,112.95,581.5,314160.0,3786.62
