option_code,name,base_local,n_level,level
Akademicheskij,186107615, Akademicheskij, Jugo-Zapadnyj AO,3,»»

Alekseevskij,186145015, Alekseevskij, Severo-Vostochnyj AO,3,»»

Altajskij kraj,435072815,Altajskij kraj,Altajskij kraj,2,»

Altuf'evskij,186108215, Altuf'evskij, Severo-Vostochnyj AO,3,»»

Aeroport,186143415, Aeroport, Severnyj AO,3,»»

Balashiha,186185415, Balashiha, Balashiha,2,»

Barnaul,435073015, Barnaul, Barnaul,2,»

Basmannyj,186125215, Basmannyj, Tsentral'nyj AO,3,»»

Bashkortostan,35467215,Bashkortostan,Bashkortostan,1,

Begovoj,186143015, Begovoj, Severnyj AO,3,»»

Belgorod,68872015, Belgorod, Belgorod,2,»

Belgorodskaja oblast',68868615,Belgorodskaja oblast',Belgorodskaja oblast',2,»

Beskudnikovskij,186139015, Beskudnikovskij, Severnyj AO,3,»»

Birjulevo Zapadnoe,186187415, Birjulevo Zapadnoe, Juzhnyj AO,3,»»

Bogorodskoe,186153815, Bogorodskoe, Vostochnyj AO,3,»»

Bor,51314415, Bor, Bor,2,»

Buzlanovo,186185615, Buzlanovo, Buzlanovo,2,»

Butyrskij,186111415, Butyrskij, Severo-Vostochnyj AO,3,»»

Vladivostok,34625215, Vladivostok, Vladivostok,2,»

Vladimir,174532015, Vladimir, Vladimir,2,»

Vladimirskaja oblast',174531815,Vladimirskaja oblast',Vladimirskaja oblast',2,»

Vojkovskij,186153415, Vojkovskij, Severnyj AO,3,»»

Volgograd,30020215, Volgograd, Volgograd,2,»

Volgogradskaja oblast',30020015,Volgogradskaja oblast',Volgogradskaja oblast',2,»

Volzhskij,30020415, Volzhskij, Volzhskij,2,»

Voronezh,523363841, Voronezh, Voronezh,2,»

Voronezhskaja oblast',523363641,Voronezhskaja oblast',Voronezhskaja oblast',2,»

Vostochnyj AO,186532815, Vostochnyj AO, Vostochnyj AO,2,»

Vse,,Vse,Vse,1,

Vyhino-Zhulebino,186148615, Vyhino-Zhulebino, Jugo-Vostochnyj AO,3,»»

Gagarinskij,186144215, Gagarinskij, Jugo-Zapadnyj AO,3,»»

Golovinskij,186143615, Golovinskij, Severnyj AO,3,»»

Gol'janovo,186150815, Gol'janovo, Vostochnyj AO,3,»»

Gubkinskij,190971615, Gubkinskij, Gubkinskij,2,»

Danilovskij,186108615, Danilovskij, Juzhnyj AO,3,»»

Dmitrovskij,186126215, Dmitrovskij, Severnyj AO,3,»»

Donskoj,186111815, Donskoj, Juzhnyj AO,3,»»

Dorogomilovo,186142615, Dorogomilovo, Zapadnyj AO,3,»»

Ekaterinburg,504951441, Ekaterinburg, Ekaterinburg,2,»

Zhukovka,186539215, Zhukovka, Zhukovka,2,»

Zhukovskij,190877815, Zhukovskij, Zhukovskij,2,»

Zapadnyj AO,186534215, Zapadnyj AO, Zapadnyj AO,2,»

Zarechnyj,35224015, Zarechnyj, Zarechnyj,2,»

Zlatoust,193612815, Zlatoust, Zlatoust,2,»

Ivanovo,70284015, Ivanovo, Ivanovo,2,»

Ivanovskaja oblast',70283815,Ivanovskaja oblast',Ivanovskaja oblast',2,»

Ivanteevka,190877615, Ivanteevka, Ivanteevka,2,»

Izmajlovo,186153615, Izmajlovo, Vostochnyj AO,3,»»

Izmajlovo Severnoe,186152815, Izmajlovo Severnoe, Vostochnyj AO,3,»»

Kazan',72830015, Kazan', Kazan',2,»

Kaliningrad,71252415, Kaliningrad, Kaliningrad,2,»

Kaliningradskaja oblast',71250215,Kaliningradskaja oblast',Kaliningradskaja oblast',2,»

Kirov,190021815, Kirov, Kirov,2,»

Kirovskaja oblast',190019615,Kirovskaja oblast',Kirovskaja oblast',2,»

Kogalym,517083441, Kogalym, Kogalym,2,»

