option_code,name,base_local,n_level,level
Академический,186107615, Академический, Юго-Западный АО,3,»»

Алексеевский,186145015, Алексеевский, Северо-Восточный АО,3,»»

Алтайский край,435072815,Алтайский край,Алтайский край,2,»

Алтуфьевский,186108215, Алтуфьевский, Северо-Восточный АО,3,»»

Аэропорт,186143415, Аэропорт, Северный АО,3,»»

Балашиха,186185415, Балашиха, Балашиха,2,»

Барнаул,435073015, Барнаул, Барнаул,2,»

Басманный,186125215, Басманный, Центральный АО,3,»»

Башкортостан,35467215,Башкортостан,Башкортостан,1,

Беговой,186143015, Беговой, Северный АО,3,»»

Белгород,68872015, Белгород, Белгород,2,»

Белгородская область,68868615,Белгородская область,Белгородская область,2,»

Бескудниковский,186139015, Бескудниковский, Северный АО,3,»»

Бирюлёво Западное,186187415, Бирюлёво Западное, Южный АО,3,»»

Богородское,186153815, Богородское, Восточный АО,3,»»

Бор,51314415, Бор, Бор,2,»

Бузланово,186185615, Бузланово, Бузланово,2,»

Бутырский,186111415, Бутырский, Северо-Восточный АО,3,»»

Владивосток,34625215, Владивосток, Владивосток,2,»

Владимир,174532015, Владимир, Владимир,2,»

Владимирская область,174531815,Владимирская область,Владимирская область,2,»

Войковский,186153415, Войковский, Северный АО,3,»»

Волгоград,30020215, Волгоград, Волгоград,2,»

Волгоградская область,30020015,Волгоградская область,Волгоградская область,2,»

Волжский,30020415, Волжский, Волжский,2,»

Воронеж,523363841, Воронеж, Воронеж,2,»

Воронежская область,523363641,Воронежская область,Воронежская область,2,»

Восточный АО,186532815, Восточный АО, Восточный АО,2,»

Все,,Все,Все,1,

Выхино-Жулебино,186148615, Выхино-Жулебино, Юго-Восточный АО,3,»»

Гагаринский,186144215, Гагаринский, Юго-Западный АО,3,»»

Головинский,186143615, Головинский, Северный АО,3,»»

Гольяново,186150815, Гольяново, Восточный АО,3,»»

Губкинский,190971615, Губкинский, Губкинский,2,»

Даниловский,186108615, Даниловский, Южный АО,3,»»

