href,name
/altayskiy-kray,Altajskij kraj
/altayskiy-kray/barnaul,Barnaul
/bashkortostan,Bashkortostan
/bashkortostan/ufa,Ufa
/belgorodskaya-oblast,Belgorodskaja oblast'
/belgorodskaya-oblast/belgorod,Belgorod
/celyabinskaya-oblast/chelyabinsk,Cheljabinsk
/celyabinskaya-oblast/magnitogorsk,Magnitogorsk
/celyabinskaya-oblast/zlatoust,Zlatoust
/chelyabinskaya-oblast,Cheljabinskaja oblast'
/chuvashiya,Chuvashskaja Respublika
/chuvashiya/cheboksary,Cheboksary
/ivanovskaya-oblast,Ivanovskaja oblast'
/ivanovskaya-oblast/ivanovo,Ivanovo
/kaliningradskaya-oblast,Kaliningradskaja oblast'
/kaliningradskaya-oblast/kaliningrad,Kaliningrad
/khabarovskiy-kray,Habarovskij kraj
/khabarovskiy-kray/khabarovsk,Habarovsk
/kirovskaya-oblast,Kirovskaja oblast'
/kirovskaya-oblast/kirov,Kirov
/krasnodarskiy-kray,Krasnodarskij kraj
/krasnodarskiy-kray/krasnodar,Krasnodar
/krasnodarskiy-kray/sochi,Sochi
/krasnoyarskiy-kray,Krasnojarskij kraj
/krasnoyarskiy-kray/krasnoyarsk,Krasnojarsk
/kurganskaya-oblast,Kurganskaja Oblast'
/kurganskaya-oblast/kurgan,Kurgan
/moskovskaya-oblast,Moskovskaja oblast'
/moskovskaya-oblast/balashikha,Balashiha
/moskovskaya-oblast/buzlanovo,Buzlanovo
/moskovskaya-oblast/ivanteyevka,Ivanteevka
/moskovskaya-oblast/khimki,Himki
/moskovskaya-oblast/kolomna,Kolomna
/moskovskaya-oblast/kotelniki,Kotel'niki
/moskovskaya-oblast/krasnogorsk,Krasnogorsk
/moskovskaya-oblast/lesnoy,Lesnoj
/moskovskaya-oblast/lobnya,Lobnja
/moskovskaya-oblast/lyubertsy,Ljubertsy
/moskovskaya-oblast/mytishchi,Mytischi
/moskovskaya-oblast/novoivanovskoye,Novoivanovskoe
/moskovskaya-oblast/podolsk,Podol'sk
/moskovskaya-oblast/pravdinskiy,Pravdinskij
/moskovskaya-oblast/pushkino,Pushkino
/moskovskaya-oblast/putilkovo,Putilkovo
/moskovskaya-oblast/razdory,Razdory
/moskovskaya-oblast/shchelkovo,Schelkovo
/moskovskaya-oblast/solnechnogorsk,Solnechnogorsk
/moskovskaya-oblast/stupino,Stupino
/moskovskaya-oblast/yurlovo,Jurlovo
/moskovskaya-oblast/zhukovka,Zhukovka
/moskovskaya-oblast/zhukovskiy,Zhukovskij
/moskva,Moskva
/moskva/aeroport,Aeroport
/moskva/akademicheskiy,Akademicheskij
/moskva/alekseyevskiy,Alekseevskij
/moskva/altufyevskiy,Altuf'evskij
/moskva/basmannyy,Basmannyj
/moskva/begovoy,Begovoj
/moskva/beskudnikovskiy,Beskudnikovskij
/moskva/biryulevo-zapadnoye,Birjulevo Zapadnoe
/moskva/bogorodskoe,Bogorodskoe
/moskva/butyrskiy,Butyrskij
/moskva/cheremushki,Cheremushki
/moskva/danilovskiy,Danilovskij
/moskva/dmitrovskiy,Dmitrovskij
/moskva/donskoy,Donskoj
/moskva/dorogomilovo,Dorogomilovo
/moskva/fili-davydkovo,Fili-Davydkovo
