href,name
/altayskiy-kray,Алтайский край
/altayskiy-kray/barnaul,Барнаул
/bashkortostan,Башкортостан
/bashkortostan/ufa,Уфа
/belgorodskaya-oblast,Белгородская область
/belgorodskaya-oblast/belgorod,Белгород
/celyabinskaya-oblast/chelyabinsk,Челябинск
/celyabinskaya-oblast/magnitogorsk,Магнитогорск
/celyabinskaya-oblast/zlatoust,Златоуст
/chelyabinskaya-oblast,Челябинская область
/chuvashiya,Чувашская Республика
/chuvashiya/cheboksary,Чебоксары
/ivanovskaya-oblast,Ивановская область
/ivanovskaya-oblast/ivanovo,Иваново
/kaliningradskaya-oblast,Калининградская область
/kaliningradskaya-oblast/kaliningrad,Калининград
/khabarovskiy-kray,Хабаровский край
/khabarovskiy-kray/khabarovsk,Хабаровск
/kirovskaya-oblast,Кировская область
/kirovskaya-oblast/kirov,Киров
/krasnodarskiy-kray,Краснодарский край
/krasnodarskiy-kray/krasnodar,Краснодар
/krasnodarskiy-kray/sochi,Сочи
/krasnoyarskiy-kray,Красноярский край
/krasnoyarskiy-kray/krasnoyarsk,Красноярск
/kurganskaya-oblast,Курганская Область
/kurganskaya-oblast/kurgan,Курган
/moskovskaya-oblast,Московская область
/moskovskaya-oblast/balashikha,Балашиха
/moskovskaya-oblast/buzlanovo,Бузланово
/moskovskaya-oblast/ivanteyevka,Ивантеевка
/moskovskaya-oblast/khimki,Химки
/moskovskaya-oblast/kolomna,Коломна
/moskovskaya-oblast/kotelniki,Котельники
/moskovskaya-oblast/krasnogorsk,Красногорск
/moskovskaya-oblast/lesnoy,Лесной
/moskovskaya-oblast/lobnya,Лобня
/moskovskaya-oblast/lyubertsy,Люберцы
/moskovskaya-oblast/mytishchi,Мытищи
/moskovskaya-oblast/novoivanovskoye,Новоивановское
/moskovskaya-oblast/podolsk,Подольск
/moskovskaya-oblast/pravdinskiy,Правдинский
/moskovskaya-oblast/pushkino,Пушкино
/moskovskaya-oblast/putilkovo,Путилково
/moskovskaya-oblast/razdory,Раздоры
/moskovskaya-oblast/shchelkovo,Щелково
/moskovskaya-oblast/solnechnogorsk,Солнечногорск
/moskovskaya-oblast/stupino,Ступино
/moskovskaya-oblast/yurlovo,Юрлово
/moskovskaya-oblast/zhukovka,Жуковка
/moskovskaya-oblast/zhukovskiy,Жуковский
/moskva,Москва
/moskva/aeroport,Аэропорт
/moskva/akademicheskiy,Академический
/moskva/alekseyevskiy,Алексеевский
/moskva/altufyevskiy,Алтуфьевский
/moskva/basmannyy,Басманный
/moskva/begovoy,Беговой
/moskva/beskudnikovskiy,Бескудниковский
/moskva/biryulevo-zapadnoye,Бирюлёво Западное
/moskva/bogorodskoe,Богородское
/moskva/butyrskiy,Бутырский
/moskva/cheremushki,Черемушки
/moskva/danilovskiy,Даниловский
/moskva/dmitrovskiy,Дмитровский
/moskva/donskoy,Донской
/moskva/dorogomilovo,Дорогомилово
/moskva/fili-davydkovo,Фили-Давыдково
/moskva/gagarinskiy,Гагаринский
/moskva/golovinskiy,Головинский
/moskva/golyanovo,Гольяново
/moskva/izmaylovo,Измайлово
/moskva/izmaylovo-severnoye,Измайлово Северное
/moskva/khamovniki,Хамовники
/moskva/khoroshevo-mnevniki,Хорошево-Мневники
/moskva/khoroshevskiy,Хорошевский
/moskva/konkovo,Коньково
/moskva/koptevo,Коптево
/moskva/krasnoselskiy,Красносельский
/moskva/krylatskoye,Крылатское
/moskva/kuntsevo,Кунцево
/moskva/lefortovo,Лефортово
/moskva/levoberezhnyy,Левобережный
/moskva/lomonosovskiy,Ломоносовский
/moskva/lyublino,Люблино
/moskva/marfino,Марфино
/moskva/marina-roshcha,Марьина роща
/moskva/marino,Марьино
/moskva/medvedkovo-severnoye,Медведково Северное
/moskva/meshchanskiy,Мещанский
/moskva/moskvorechye-saburovo,Москворечье-Сабурово
/moskva/mozhayskiy,Можайский
/moskva/nagatino-sadovniki,Нагатино-Садовники
/moskva/nagatinskiy-zaton,Нагатинский затон
/moskva/nagornyy,Нагорный
/moskva/nizhegorodskiy,Нижегородский
/moskva/novo-peredelkino,Ново-Переделкино
/moskva/novogireyevo,Новогиреево
