subiekt,plotn,tchel,km2,fo,nn
Абакан,,,112.38,,115
Альметьевск,,,114.98,,112
Ангарск,,,294,,48
Архангельск,,,294.42,,47
Астрахань,,,208.69,,64
Барнаул,,,322.01,,38
Белгород,,,160.6,,86
Белово,,,219.34,,62
Бийск,,,291.67,,49
Биробиджан,,,169.38,,77
Благовещенск,,,320.97,,39
Братск,,,428,,18
Брянск,,,186.43,,70
Владивосток,,,331.16,,34
Владикавказ,,,290.61,,50
Владимир,,,137.014,,101
Волгоград,,,859.353,,3
Волгодонск,,,168.82,,78
Волжский,,,229.12,,59
Вологда,,,115.73,,111
Воронеж,,,596.51,,10
Воткинск,,,112.18,,116
Выборг,,,160.847,,84
Грозный,,,324.16,,37
Дзержинск,,,421.53,,20
Димитровград,,,103.97,,127
Домодедово,,,159.27,,88
Донецк,,,110.34,,118
Екатеринбург,,,468,,17
Железногорск,,,112.03,,117
Златоуст,,,190.4,,68
Иваново,,,104.5,,126
Ижевск,,,315.6,,40
Иркутск,,,277.35,,51
Ишимбай,,,103.47,,129
Йошкар-Ола,,,100.39,,132
Казань,,,614.16,,9
Калининград,,,223.03,,61
Калуга,,,168.8,,79
Каменск-Уральский,,,142,,98
Каменск-Шахтинский,,,159.99,,87
Камышин,,,117.97,,108
Кемерово,,,294.8,,46
Керчь,,,108,,123
Киров,,,169.73,,75
Комсомольск-на-Амуре,,,325.10,,36
Копейск,,,236.71,,58
Кострома,,,144.5,,97
Красноармейск,,,160.7,,85
Краснодар,,,339.31,,31
Красноярск,,,353.9,,29
Кумертау,,,169.6,,76
Курган,,,393.03,,23
Курск,,,188.75,,69
Лесосибирск,,,277.00,,52
Липецк,,,330.15,,35
Магадан,,,295,,45
Магнитогорск,,,392.35,,24
Махачкала,,,468.13,,16
Междуреченск,,,332.56,,33
Москва,,,2551.9,,1
Мурманск,,,154.6,,90
Мыски,,,108.7,,121
Набережные Челны,,,161,,83
Находка,,,127,,103
Невинномысск,,,100.397,,131
Нефтекамск,,,147.25,,95
Нефтеюганск,,,153.79,,92
Нижневартовск,,,271.319,,54
Нижнекамск,,,116,,110
Нижний Новгород,,,410.68,,21
Нижний Тагил,,,298.47,,43
Новокузнецк,,,424.27,,19
Новосибирск,,,506.67,,14
Новоульяновск,,,253.67,,56
Новочеркасск,,,127.94,,102
Новошахтинск,,,138.09,,100
Омск,,,566.9,,11
Оренбург,,,259,,55
Орск,,,621.33,,8
Орёл,,,121,,105
Пенза,,,305.1,,42
Пермь,,,799.68,,4
Петрозаводск,,,113,,114
Петропавловск-Камчатский,,,362.14,,27
Прокопьевск,,,216.72,,63
Пятигорск,,,103.73,,128
Ростов-на-Дону,,,348.5,,30
Рыбинск,,,101.42,,130
Рязань,,,224.163,,60
Салават,,,106.23,,125
Самара,,,541.382,,12
Санкт-Петербург,,,1439.00,,2
Саратов,,,393.975,,22
Севастополь,,,183,,71
Северодвинск,,,120.51,,107
Сибай,,,154.31,,91
Симферополь,,,107.41,,124
Смоленск,,,164.7,,81
Соликамск,,,166.55,,80
Сочи,,,176.77,,72
Ставрополь,,,276.689,,53
Старый Оскол,,,200.8,,66
Стерлитамак,,,108.52,,122
Сургут,,,353.976,,28
Сызрань,,,117,,109
Сыктывкар,,,152,,94
Тверь,,,152.22,,93
Тобольск,,,239.309,,57
Тольятти,,,314.79,,41
Томск,,,297.2,,44
Троицк,,,139.15,,99
Тула,,,145.8,,96
Тюмень,,,698,,6
Улан-Удэ,,,377.12,,26
Ульяновск,,,625.5,,7
Уссурийск,,,172.88,,74
Уфа,,,700,,5
Хабаровск,,,388.735,,25
Ханты-Мансийск,,,337.76,,32
Химки,,,110.2,,119
Чапаевск,,,200.5,,67
Чебоксары,,,110,,120
Челябинск,,,501.57,,15
Череповец,,,120.94,,106
Чита,,,534,,13
Шадринск,,,173.66,,73
Шахты,,,159.08,,89
Энгельс,,,113.772,,113
Южно-Сахалинск,,,164.66,,82
Якутск,,,122,,104
Ярославль,,,205.8,,65
