up,plotn
Bashkortostan,28.34
Belgorodskaja oblast',57.03
Vladimirskaja oblast',46.96
Volgogradskaja oblast',22.21
Voronezhskaja oblast',44.58
Ivanovskaja oblast',46.84
Kaliningradskaja oblast',66.26
Kirovskaja oblast',10.57
Krasnodarskij kraj,74.83
Krasnojarskij kraj,1.21
Moskovskaja oblast',171.44
Nizhegorodskaja oblast',41.95
Novosibirskaja oblast',15.71
Omskaja oblast',13.78
Primorskij kraj,11.55
Respublika Tatarstan,57.46
Rostovskaja oblast',41.62
Samarskaja oblast',59.42
Saratovskaja oblast',24.11
Sverdlovskaja oblast',22.21
Smolenskaja oblast',18.93
Habarovskij kraj,1.68
Cheljabinskaja oblast',39.26
Jaroslavskaja oblast',34.82
Vostochnyj AO,9790.66
Zapadnyj AO,9034.03
Severnyj AO,10346.02
Severo-Vostochnyj AO,13976.38
Severo-Zapadnyj AO,10734.73
Tsentral'nyj AO,11724.6
Jugo-Vostochnyj AO,11956.9
Jugo-Zapadnyj AO,12906.01
Juzhnyj AO,13548.64
Moskva,4993.36
