name,href
Akademicheskij,/moskva/akademicheskiy
Alekseevskij,/moskva/alekseyevskiy
Altajskij kraj,/altayskiy-kray
Altuf'evskij,/moskva/altufyevskiy
Aeroport,/moskva/aeroport
Balashiha,/moskovskaya-oblast/balashikha
Barnaul,/altayskiy-kray/barnaul
Basmannyj,/moskva/basmannyy
Bashkortostan,/bashkortostan
Begovoj,/moskva/begovoy
Belgorod,/belgorodskaya-oblast/belgorod
Belgorodskaja oblast',/belgorodskaya-oblast
Beskudnikovskij,/moskva/beskudnikovskiy
Birjulevo Zapadnoe,/moskva/biryulevo-zapadnoye
Bogorodskoe,/moskva/bogorodskoe
Bor,/shop/folder/bor
Buzlanovo,/moskovskaya-oblast/buzlanovo
Butyrskij,/moskva/butyrskiy
Vladivostok,/primorskiy-kray/vladivostok
Vladimir,/vladimirskaya-oblast/vladimir
Vladimirskaja oblast',/vladimirskaya-oblast
Vojkovskij,/moskva/voykovskiy
Volgograd,/volgogradskaya-oblast/volgograd
Volgogradskaja oblast',/volgogradskaya-oblast
Volzhskij,/shop/folder/volzhskiy
Voronezh,/voronezhskaya-oblast/voronezh
Voronezhskaja oblast',/voronezhskaya-oblast
Vostochnyj AO,/moskva/vostochnyy-ao
Vyhino-Zhulebino,/moskva/vykhino-zhulebino
Gagarinskij,/moskva/gagarinskiy
Golovinskij,/moskva/golovinskiy
Gol'janovo,/moskva/golyanovo
Gubkinskij,/tyumen-region/gubkinskiy
Danilovskij,/moskva/danilovskiy
Dmitrovskij,/moskva/dmitrovskiy
Donskoj,/moskva/donskoy
Dorogomilovo,/moskva/dorogomilovo
Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg
Zhukovka,/moskovskaya-oblast/zhukovka
Zhukovskij,/moskovskaya-oblast/zhukovskiy
Zapadnyj AO,/moskva/zapadnyy-ao
Zarechnyj,/sverdlovskaya-oblast/zarechnyy
Zlatoust,/celyabinskaya-oblast/zlatoust
Ivanovo,/ivanovskaya-oblast/ivanovo
Ivanovskaja oblast',/ivanovskaya-oblast
Ivanteevka,/moskovskaya-oblast/ivanteyevka
Izmajlovo,/moskva/izmaylovo
Izmajlovo Severnoe,/moskva/izmaylovo-severnoye
Kazan',/respublika-tatarstan/kazan
Kaliningrad,/kaliningradskaya-oblast/kaliningrad
Kaliningradskaja oblast',/kaliningradskaya-oblast
Kirov,/kirovskaya-oblast/kirov
Kirovskaja oblast',/kirovskaya-oblast
Kogalym,/tyumen-region/kogalym
Kolomna,/moskovskaya-oblast/kolomna
Kon'kovo,/moskva/konkovo
Koptevo,/moskva/koptevo
Kotel'niki,/moskovskaya-oblast/kotelniki
Krasnogorsk,/moskovskaya-oblast/krasnogorsk
Krasnodar,/krasnodarskiy-kray/krasnodar
Krasnodarskij kraj,/krasnodarskiy-kray
Krasnosel'skij,/moskva/krasnoselskiy
Krasnojarsk,/krasnoyarskiy-kray/krasnoyarsk
Krasnojarskij kraj,/krasnoyarskiy-kray
Krylatskoe,/moskva/krylatskoye
Kulebaki,/shop/folder/kulebaki
Kuntsevo,/moskva/kuntsevo
Kurgan,/kurganskaya-oblast/kurgan
Kurganskaja Oblast',/kurganskaya-oblast
Langepas,/tyumen-region/langepas
Levoberezhnyj,/moskva/levoberezhnyy
Lesnoj,/moskovskaya-oblast/lesnoy
Lefortovo,/moskva/lefortovo
Lobnja,/moskovskaya-oblast/lobnya
Lomonosovskij,/moskva/lomonosovskiy
Ljubertsy,/moskovskaya-oblast/lyubertsy
Ljublino,/moskva/lyublino
Magnitogorsk,/celyabinskaya-oblast/magnitogorsk
Marfino,/moskva/marfino
Mar'ina roscha,/moskva/marina-roshcha
Mar'ino,/moskva/marino
Medvedkovo Severnoe,/moskva/medvedkovo-severnoye
Meschanskij,/moskva/meshchanskiy
Mozhajskij,/moskva/mozhayskiy
Moskva,/moskva
Moskvorech'e-Saburovo,/moskva/moskvorechye-saburovo
Moskovskaja oblast',/moskovskaya-oblast
Mytischi,/moskovskaya-oblast/mytishchi
Nagatino-Sadovniki,/moskva/nagatino-sadovniki
Nagatinskij zaton,/moskva/nagatinskiy-zaton
Nagornyj,/moskva/nagornyy
Nadym,/tyumen-region/nadym
Nizhegorodskaja oblast',/nizhegorodskaya-oblast
Nizhegorodskij,/moskva/nizhegorodskiy
Nizhnevartovsk,/tyumen-region/nizhnevartovsk
Nizhnij Novgorod,/nizhegorodskaya-oblast/nizhniy-novgorod
Novo-Peredelkino,/moskva/novo-peredelkino
Novogireevo,/moskva/novogireyevo
Novoivanovskoe,/moskovskaya-oblast/novoivanovskoye
Novosibirsk,/novosibirskaya-oblast/novosibirsk
Novosibirskaja oblast',/novosibirskaya-oblast
Novyj Urengoj,/tyumen-region/novyy-urengoy
Nojabr'sk,/tyumen-region/noyabrsk
Njagan',/tyumen-region/nyagan
Obruchevskij,/moskva/obruchevskiy
Omsk,/omskaya-oblast/omsk
Omskaja oblast',/omskaya-oblast
Orehovo-Borisovo Juzhnoe,/moskva/orekhovo-borisovo-yuzhnoye
Ostankinskij,/moskva/ostankinskiy
Otradnoe,/moskva/otradnoye
Ochakovo-Matveevskoe,/moskva/ochakovo-matveyevskoye
Pavlovo,/shop/folder/pavlovo
Pervomajsk,/shop/folder/pervomaysk
Permskij kraj,/permskiy-kray
Perm',/permskiy-kray/perm
Perovo,/moskva/perovo
Pechatniki,/moskva/pechatniki
Podol'sk,/moskovskaya-oblast/podolsk
Pokrovskoe-Streshnevo,/moskva/pokrovskoye-streshnevo
Pravdinskij,/moskovskaya-oblast/pravdinskiy
Preobrazhenskoe,/moskva/preobrazhenskoye
Presnenskij,/moskva/presnenskiy
Primorskij kraj,/primorskiy-kray
Prospekt Vernadskogo,/moskva/prospekt-vernadskogo
Putilkovo,/moskovskaya-oblast/putilkovo
Pushkino,/moskovskaya-oblast/pushkino
Razdory,/moskovskaya-oblast/razdory
