name,href
Академический,/moskva/akademicheskiy
Алексеевский,/moskva/alekseyevskiy
Алтайский край,/altayskiy-kray
Алтуфьевский,/moskva/altufyevskiy
Аэропорт,/moskva/aeroport
Балашиха,/moskovskaya-oblast/balashikha
Барнаул,/altayskiy-kray/barnaul
Басманный,/moskva/basmannyy
Башкортостан,/bashkortostan
Беговой,/moskva/begovoy
Белгород,/belgorodskaya-oblast/belgorod
Белгородская область,/belgorodskaya-oblast
Бескудниковский,/moskva/beskudnikovskiy
Бирюлёво Западное,/moskva/biryulevo-zapadnoye
Богородское,/moskva/bogorodskoe
Бор,/shop/folder/bor
Бузланово,/moskovskaya-oblast/buzlanovo
Бутырский,/moskva/butyrskiy
Владивосток,/primorskiy-kray/vladivostok
Владимир,/vladimirskaya-oblast/vladimir
Владимирская область,/vladimirskaya-oblast
Войковский,/moskva/voykovskiy
Волгоград,/volgogradskaya-oblast/volgograd
Волгоградская область,/volgogradskaya-oblast
Волжский,/shop/folder/volzhskiy
Воронеж,/voronezhskaya-oblast/voronezh
Воронежская область,/voronezhskaya-oblast
Восточный АО,/moskva/vostochnyy-ao
Выхино-Жулебино,/moskva/vykhino-zhulebino
Гагаринский,/moskva/gagarinskiy
Головинский,/moskva/golovinskiy
Гольяново,/moskva/golyanovo
Губкинский,/tyumen-region/gubkinskiy
Даниловский,/moskva/danilovskiy
Дмитровский,/moskva/dmitrovskiy
Донской,/moskva/donskoy
Дорогомилово,/moskva/dorogomilovo
Екатеринбург,/sverdlovskaya-oblast/yekaterinburg
Жуковка,/moskovskaya-oblast/zhukovka
Жуковский,/moskovskaya-oblast/zhukovskiy
Западный АО,/moskva/zapadnyy-ao
Заречный,/sverdlovskaya-oblast/zarechnyy
Златоуст,/celyabinskaya-oblast/zlatoust
Иваново,/ivanovskaya-oblast/ivanovo
Ивановская область,/ivanovskaya-oblast
Ивантеевка,/moskovskaya-oblast/ivanteyevka
Измайлово,/moskva/izmaylovo
Измайлово Северное,/moskva/izmaylovo-severnoye
Казань,/respublika-tatarstan/kazan
Калининград,/kaliningradskaya-oblast/kaliningrad
Калининградская область,/kaliningradskaya-oblast
