subiekt,okrug,km2,perc_plsh,mesto_plsh,tchel,perc_tchel,mesto_tchel,plotn,mesto_plotn
Восточный,Восточный административный округ,154.84,6.13,3,1515942,12.02,2,9790.66,8,
Вся Москва,,2526.53,100.00,,12615882,100.00,,4993.36,,
Западный,Западный административный округ,153.03,6.06,4,1382516,10.96,6,9034.03,9,
Зеленоградский,Зеленоград,37.20,1.47,12,243084,1.93,10,6534.53,10,
Новомосковский,Новомосковский административный округ,361.36,14.30,2,234226,1.86,11,648.18,11,
Северный,Северный административный округ,113.73,4.50,7,1176611,9.33,7,10346.02,7,
Северо-Восточный,Северо-Восточный административный округ,101.88,4.03,9,1423956,11.29,4,13976.38,1,
Северо-Западный,Северо-Западный административный округ,93.28,3.69,10,1001346,7.94,8,10734.73,6,
Троицкий,Троицкий административный округ,1084.34,42.92,1,124671,0.99,12,114.97,12,
Центральный,Центральный административный округ (Москва),66.18,2.62,11,775881,6.15,9,11724.6,5,
Юго-Восточный,Юго-Восточный административный округ,117.56,4.65,6,1405650,11.14,5,11956.9,4,
Юго-Западный,Юго-Западный административный округ,111.36,4.41,8,1437242,11.39,3,12906.01,3,
Южный,Южный административный округ,131.77,5.22,5,1785343,14.15,1,13548.64,2,
