Pixel_Pitch_avr,dollar_avr,dollar_min,dollar_max
1.25,6500.0,6500.0,6500.0
10,475.0,475.0,475.0
16,476.5,476.5,476.5
2.5,1073.25,1007.5,1139.0
2.6,1600.0,1600.0,1600.0
2.9,1500.0,1500.0,1500.0
3,1250.0,1250.0,1250.0
3.91,792.5,685.0,900.0
4,1538.0,1538.0,1538.0
4.81,566.62,234.0,850.0
5.95,464.19,464.19,464.19
8,1368.5,418.0,2319.0
0.66,6500.0,,
0.68,6500.0,,
0.7,6500.0,,
0.77,6500.0,,
0.88,6500.0,,
0.96,6500.0,,
1.02,6500.0,,
1.04,6500.0,,
1.11,6500.0,,
1.16,6500.0,,
1.22,6500.0,,
1.27,3786.625,,
1.31,3786.625,,
1.37,3786.625,,
1.39,3786.625,,
1.4,3786.625,,
1.44,3786.625,,
1.52,3786.625,,
1.56,3786.625,,
1.57,3786.625,,
1.58,3786.625,,
1.59,3786.625,,
1.6,3786.625,,
1.61,3786.625,,
1.62,3786.625,,
1.63,3786.625,,
1.64,3786.625,,
1.71,3786.625,,
1.75,3786.625,,
1.82,3786.625,,
1.84,3786.625,,
1.86,3786.625,,
1.88,3786.625,,
1.9,3786.625,,
1.91,3786.625,,
1.92,3786.625,,
1.95,3786.625,,
1.96,3786.625,,
1.99,3786.625,,
12.19,475.75,,
2.01,3786.625,,
2.02,3786.625,,
2.03,3786.625,,
2.09,3786.625,,
2.16,3786.625,,
2.17,3786.625,,
2.18,3786.625,,
2.22,3786.625,,
2.24,3786.625,,
2.25,3786.625,,
2.29,3786.625,,
2.34,3786.625,,
2.35,3786.625,,
2.36,3786.625,,
2.37,3786.625,,
2.38,3786.625,,
2.39,3786.625,,
2.41,3786.625,,
2.43,3786.625,,
2.44,3786.625,,
2.45,3786.625,,
2.49,3786.625,,
2.5,3786.625,,
2.52,4000.0,,
2.53,4000.0,,
2.54,4000.0,,
2.55,4000.0,,
2.56,4000.0,,
2.57,4000.0,,
2.58,4000.0,,
2.59,4000.0,,
2.6,4000.0,,
2.62,1550.0,,
2.63,1550.0,,
2.64,1550.0,,
2.65,1550.0,,
2.8,1550.0,,
2.82,1550.0,,
2.9,1550.0,,
2.93,1196.25,,
2.94,1196.25,,
2.96,1196.25,,
2.99,1196.25,,
3.05,1021.25,,
3.08,1021.25,,
3.1,1021.25,,
3.17,1021.25,,
3.18,1021.25,,
3.2,1021.25,,
3.21,1021.25,,
3.23,1021.25,,
3.25,1021.25,,
3.26,1021.25,,
3.28,1021.25,,
3.31,1021.25,,
3.35,1021.25,,
3.4,1021.25,,
3.58,1021.25,,
3.6,1021.25,,
3.65,1021.25,,
3.66,1021.25,,
3.68,1021.25,,
3.81,1021.25,,
3.84,1021.25,,
3.96,908.3125,,
3.99,908.3125,,
4.06,1052.3125,,
4.27,1052.3125,,
4.31,1052.3125,,
4.33,1052.3125,,
4.54,1052.3125,,
4.68,1052.3125,,
4.78,1052.3125,,
4.88,1453.25,,
4.89,1453.25,,
4.99,1453.25,,
5.12,1453.25,,
5.29,1453.25,,
5.56,1453.25,,
6.1,916.345,,
6.46,916.345,,
6.5,916.345,,
7.32,916.345,,
8.29,470.345,,
8.3,470.345,,
8.64,470.345,,
9.78,470.345,,
9.85,470.345,,
