subiekt,plotn,tchel,km2,fo,nn,region
Abakan,1469.86,165183,112.38,Sibirskij,2,Hakasija
Al'met'evsk,1272.47,146309,114.98,Privolzhskij,25,Tatarstan
Angarsk,795.12,233765,294,Sibirskij,29,Irkutskaja oblast'
Arhangel'sk,1184.42,348716,294.42,Severo-Zapadnyj,49,Arhangel'skaja oblast'
Astrahan',2494.91,520662,208.69,Juzhnyj,52,Astrahanskaja oblast'
Barnaul,1973.81,635585,322.01,Sibirskij,73,Altajskij kraj
Belgorod,2219.34,356426,160.6,Tsentral'nyj,80,Belgorodskaja oblast'
Belovo,349.92,76752,219.34,Sibirskij,84,Kemerovskaja oblast'
Bijsk,698.82,203826,291.67,Sibirskij,101,Altajskij kraj
Birobidzhan,445.27,75419,169.38,Dal'nevostochnyj,104,Evrejskaja AO
Blagoveschensk,667.97,214397,320.97,Dal'nevostochnyj,109,Amurskaja oblast'
Bratsk,575.58,246348,428,Sibirskij,131,Irkutskaja oblast'
Brjansk,2229.47,415640,186.43,Tsentral'nyj,133,Brjanskaja oblast'
Vladivostok,1787.86,592069,331.16,Dal'nevostochnyj,167,Primorskij kraj
Vladikavkaz,1072.35,311635,290.61,Severo-Kavkazskij,168,Severnaja Osetija - Alanija
Vladimir,2541.75,348256,137.014,Tsentral'nyj,169,Vladimirskaja oblast'
Volgograd,1188.39,1021244,859.353,Juzhnyj,170,Volgogradskaja oblast'
Volgodonsk,1010.67,170621,168.82,Juzhnyj,171,Rostovskaja oblast'
Volzhskij,1372.36,314436,229.12,Juzhnyj,174,Volgogradskaja oblast'
Vologda,2606.43,301642,115.73,Severo-Zapadnyj,175,Vologodskaja oblast'
Voronezh,1491.48,889680,596.51,Tsentral'nyj,183,Voronezhskaja oblast'
Votkinsk,891.73,100034,112.18,Privolzhskij,186,Udmurtija
Vyborg,497.45,80013,160.847,Severo-Zapadnyj,189,Leningradskaja oblast'
Groznyj,837.85,271596,324.16,Severo-Kavkazskij,223,Chechnja
Dzerzhinsk,571.16,240762,421.53,Privolzhskij,250,Nizhegorodskaja oblast'
Dimitrovgrad,1178.7,122549,103.97,Privolzhskij,254,Ul'janovskaja oblast'
Domodedovo,603.52,96123,159.27,Tsentral'nyj,262,Moskovskaja oblast'
Donetsk,453.92,50085,110.34,Juzhnyj,263,Rostovskaja oblast'
Ekaterinburg,2943.88,1377738,468,Ural'skij,276,Sverdlovskaja oblast'
Zheleznogorsk,848.5,95057,112.03,Tsentral'nyj,290,Kurskaja oblast'
Zlatoust,919.04,174985,190.4,Ural'skij,324,Cheljabinskaja oblast'
Ivanovo,3916.53,409277,104.5,Tsentral'nyj,331,Ivanovskaja oblast'
Izhevsk,1990.23,628117,315.6,Privolzhskij,335,Udmurtija
Irkutsk,2117.27,587225,277.35,Sibirskij,345,Irkutskaja oblast'
Ishimbaj,640.37,66259,103.47,Privolzhskij,350,Bashkortostan
Joshkar-Ola,2477.22,248688,100.39,Privolzhskij,351,Marij El
Kazan',1981.51,1216965,614.16,Privolzhskij,353,Tatarstan
Kaliningrad,1934.68,431491,223.03,Severo-Zapadnyj,357,Kaliningradskaja oblast'
Kaluga,1926.45,325185,168.8,Tsentral'nyj,360,Kaluzhskaja oblast'
Kamensk-Ural'skij,1230.35,174710,142,Ural'skij,365,Sverdlovskaja oblast'
Kamensk-Shahtinskij,595.7,95306,159.99,Juzhnyj,366,Rostovskaja oblast'
Kamyshin,1016.56,119924,117.97,Juzhnyj,370,Volgogradskaja oblast'
Kemerovo,1807.61,532884,294.8,Sibirskij,394,Kemerovskaja oblast'
Kerch',,,108,,123,
Kirov,2790.71,473668,169.73,Privolzhskij,411,Kirovskaja oblast'
Komsomol'sk-na-Amure,811.77,263906,325.10,Dal'nevostochnyj,438,Habarovskij kraj
Kopejsk,581.32,137604,236.71,Ural'skij,443,Cheljabinskaja oblast'
Kostroma,1858.94,268617,144.5,Tsentral'nyj,453,Kostromskaja oblast'
Krasnoarmejsk,151.6,24362,160.7,Privolzhskij,463,Saratovskaja oblast'
Krasnodar,2195.43,744933,339.31,Juzhnyj,466,Krasnodarskij kraj
Krasnojarsk,2751.7,973826,353.9,Sibirskij,478,Krasnojarskij kraj
