article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Belgorod001,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/belgorodskiy-87-tts-tsentralnyy,3,4,720,576,Belgorodskij; 87 (TTs "Tsentral'nyj"),26035,10,192,30,53477215,Svetodiodnyj ekran
Belgorod002,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/svyato-troitskiy-bulvar-17-tts-slavyanskiy,3,4,720,576,Svjato-Troitskij bul'var; 17 (TTs "Slavjanskij"),19284,10,192,30,53477215,Svetodiodnyj ekran
Belgorod003,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/50-letiya-belgorodskoy-oblasti-11-univermag-mayak,3,4,720,576,50-letija Belgorodskoj oblasti; 11 (Univermag "Majak"),19515,10,192,30,53477215,Svetodiodnyj ekran
Belgorod004,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/vokzalnaya-2-tts-vokzalnyy,3,4,720,576,Vokzal'naja; 2 (TTs "Vokzal'nyj"),17695,10,192,30,53477215,Svetodiodnyj ekran
Belgorod005,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/gubkina-17r-tts-semeynyy,3,6,780,360,Gubkina; 17R (TTs "Semejnyj"),21427,10,192,30,53477215,Svetodiodnyj ekran
Belgorod006,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/koroleva-9a-gipermarket-liniya,3,4,720,576,Koroleva; 9A (Gipermarket "Linija"),20546,10,192,30,53477215,Svetodiodnyj ekran
Belgorod007,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-164-trts-rio,6,4,512,384,Bogdana Hmel'nitskogo; 164 (TRTs "RIO"),21249,10,192,30,53477215,Svetodiodnyj ekran
Belgorod008,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/shchorsa-64-mtrk-siti-moll,6,12,704,384,Schorsa; 64 (MTRK "Siti Moll"),15667,10,192,30,53477215,Svetodiodnyj ekran
Belgorod009,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/shchorsa-3,3,6,576,288,Schorsa; 3,25080,10,450,30,53477215,Svetodiodnyj ekran
Belgorod010,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-belgorodskiy,6,4,512,384,Bogdana Hmel'nitskogo-Belgorodskij,25080,10,450,30,53477215,Svetodiodnyj ekran
