article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Белгород001,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/belgorodskiy-87-tts-tsentralnyy,3,4,720,576,Белгородский; 87 (ТЦ "Центральный"),26035,10,192,30,53477215,Светодиодный экран
Белгород002,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/svyato-troitskiy-bulvar-17-tts-slavyanskiy,3,4,720,576,Свято-Троицкий бульвар; 17 (ТЦ "Славянский"),19284,10,192,30,53477215,Светодиодный экран
Белгород003,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/50-letiya-belgorodskoy-oblasti-11-univermag-mayak,3,4,720,576,50-летия Белгородской области; 11 (Универмаг "Маяк"),19515,10,192,30,53477215,Светодиодный экран
Белгород004,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/vokzalnaya-2-tts-vokzalnyy,3,4,720,576,Вокзальная; 2 (ТЦ "Вокзальный"),17695,10,192,30,53477215,Светодиодный экран
Белгород005,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/gubkina-17r-tts-semeynyy,3,6,780,360,Губкина; 17Р (ТЦ "Семейный"),21427,10,192,30,53477215,Светодиодный экран
Белгород006,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/koroleva-9a-gipermarket-liniya,3,4,720,576,Королева; 9А (Гипермаркет "Линия"),20546,10,192,30,53477215,Светодиодный экран
Белгород007,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-164-trts-rio,6,4,512,384,Богдана Хмельницкого; 164 (ТРЦ "РИО"),21249,10,192,30,53477215,Светодиодный экран
Белгород008,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/shchorsa-64-mtrk-siti-moll,6,12,704,384,Щорса; 64 (МТРК "Сити Молл"),15667,10,192,30,53477215,Светодиодный экран
Белгород009,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/shchorsa-3,3,6,576,288,Щорса; 3,25080,10,450,30,53477215,Светодиодный экран
Белгород010,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-belgorodskiy,6,4,512,384,Богдана Хмельницкого-Белгородский,25080,10,450,30,53477215,Светодиодный экран
Белгород011,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/vatutina-4-novyy-most,9,6,720,480,Ватутина; 4 (Новый мост),24400,10,270,30,53477215,Светодиодный экран
Белгород012,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-107-stadion-energomash,7,5,720,360,Богдана Хмельницкого; 107 (стадион "Энергомаш"),24400,10,270,30,53477215,Светодиодный экран
Белгород013,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/bogdana-khmelnitskogo-137t-trk-megagrinn,7,5,720,360,Богдана Хмельницкого; 137Т (ТРК "Мегагринн"),24400,10,270,30,53477215,Светодиодный экран
Белгород014,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/popova-34-univermag-belgorod,10,5,720,576,Попова; 34 (Универмаг "Белгород"),24400,10,270,30,53477215,Светодиодный экран
Белгород015,/belgorodskaya-oblast,Россия,Белгородская область,Белгород,/belgorodskaya-oblast/belgorod/korochanskaya-132g,3,4,720,576,Корочанская; 132Г,10750,10,200,30,53477215,Светодиодный экран
