id,name,unit,quantity,FOB_Price,dollar_avr,dollar_min,dollar_max,Tube_Chip_Color,Display_Function,Pixel_Pitch,Pixel_Configuration,Pixel_Density,Scanning_Mode,IP_Rating,Average_Power_Consumption,MOQ,Unit_Plate_Size,Physical_Density,Box_Resolution,Die_Casting_Aluminum_Weight,Best_Visual_Range,
Pixel_Pitch,dollar_avr,dollar_min,dollar_max,id,
1,Indoor P2.5 P3 P5 P10 Outdoor LED Advertising Display Screen RGB LED Display Panel Stage Rental LED Video Wall LED Billboard HD LED Display for LED Sign Board,Square_Meter,1 ,US $,1007.5,765,1250,Full Color,Video Display; Image & Text Display; Text Display; Market Display,2.5,1R;1G;1B,160000,1/32 Scan,,,,,,,,,
2,Indoor High Refresh Stage Rental Events LED Display Screen P2.6/P2.97/P3.91/P4.81 (500*500mm/500*1000mm Quick Installation Rental Panel),Piece,1 ,US $,188.0,158,218,Full Color,Video Display,3.91,1R;1G;1B,65536,1/16 Scan,,,,,,,,,
3,Indoor Outdoor Advertising Display; Full Color Video Screen; Rental LED Display (P3.91; P4.81; P5.95. P6.25 Panel),Square_Meter,1 ,US $,850.0,700,1000,Full Color,Video Display,4.81,1R; 1G; 1B,,,IP65,300W / m²,,,,,,,
4,P4.81 Full Color Outdoor Rental LED Billboard Advertising Video Display Panel Screen,Square_Meter,1 ,US $,605.5,603,608,Full Color,Video Display,4.81,1R; 1G; 1B,,,IP65,350W / m²,,,,,,,
5,Outdoor Full Color 7000 CD P6/P8/P10 LED Display for Advertising Panel Sign,Square_Meter,1 ,US $,418.0,388,448,Full Color,Video Display; Image & Text Display; Text Display; Market Display,8,SMD3535,,,IP65/IP54,400W/M2,,,,,,,
6,Rental P3 SMD Indoor Full Color LED Display Panel,Square_Meter,1 ,US $,1250.0,1000,1500,Full Color,Video Display; Image & Text Display; Text Display; Market Display,3,1R;1G;1B,111111,1/32 Scan,,,,,,,,,
7,P2.9/P3.9/P4.8 Rental Indoor LED Display Panel with Front Maintenance and High Refresh Rate,Square_Meter,1 ,US $,1500.0,1000,2000,Full Color,Video Display; Image & Text Display; Text Display; Market Display,2.9,1R;1G;1B,118090,1/23,,,,,,,,,
8,Full Color Indoor Display; Advertising Screen; Rental LED Display Panel with LCD Monitor Screen (P2.6; P2.9; P3.91),Square_Meter,1 ,US $,1600.0,1500,1700,Full Color,Video Display,2.6,1R;1G;1B,147456,1/32 Scan,,,,,,,,,
9,Shenzhen Factory High Quality Full Color Video Wall Large Advertising P2.5 P3 P3.91 P4 LED Display Panel,Square_Meter,1 ,US $,1538.0,1288,1788,Full Color,Video Display; Image & Text Display; Text Display; Market Display,4,1R; 1G; 1B,,,IP65,400W,,,,,,,
10,Outdoor High Refresh Stage Rental Events LED Display Screen P3.9/P4.8/P5.95 (500*500mm/500*1000mm Quick Installation Rental Panel),Piece,1 ,US $,172.0,156,188,Full Color,Video Display,4.81,1R; 1G; 1B,,,IP65,220W / m²,,,,,,,
11,Hot Selling Full Color Both Outdoor/Indoor P3.91/P4.81 LED Display Panel,Box,1 ,US $,360.0,290,430,Full Color,Video Display; Image & Text Display; Text Display; Market Display,4.81,1R; 1G; 1B,,,IP67,220W / m²,,,,,,,
