subiekt,plotn,tchel,km2,fo,nn,region
Abaza,,17111,,Sibirskij,1,Hakasija,
Abakan,,165183,,Sibirskij,2,Hakasija,
Abdulino,,20663,,Privolzhskij,3,Orenburgskaja oblast',
Abinsk,,34926,,Juzhnyj,4,Krasnodarskij kraj,
Agidel',,16365,,Privolzhskij,5,Bashkortostan,
Agryz,,19299,,Privolzhskij,6,Tatarstan,
Adygejsk,,12689,,Juzhnyj,7,Adygeja,
Aznakaevo,,34859,,Privolzhskij,8,Tatarstan,
Azov,,82882,,Juzhnyj,9,Rostovskaja oblast',
Ak-Dovurak,,13469,,Sibirskij,10,Tyva,
Aksaj,,41984,,Juzhnyj,11,Rostovskaja oblast',
Alagir,,20949,,Severo-Kavkazskij,12,Severnaja Osetija - Alanija,
Alapaevsk,,38198,,Ural'skij,13,Sverdlovskaja oblast',
Alatyr',,38202,,Privolzhskij,14,Chuvashija,
Aldan,,21277,,Dal'nevostochnyj,15,Jakutija,
Alejsk,,28528,,Sibirskij,16,Altajskij kraj,
Aleksandrov,,61544,,Tsentral'nyj,17,Vladimirskaja oblast',
Aleksandrovsk,,15022,,Privolzhskij,18,Permskij kraj,
Aleksandrovsk-Sahalinskij,,10613,,Dal'nevostochnyj,19,Sahalinskaja oblast',
Alekseevka,,39026,,Tsentral'nyj,20,Belgorodskaja oblast',
Aleksin,,61738,,Tsentral'nyj,21,Tul'skaja oblast',
Alzamaj,,6751,,Sibirskij,22,Irkutskaja oblast',
AlupkaOsparivaetsja,,7771,,Juzhnyj,23,Krym,
AlushtaOsparivaetsja,,29078,,Juzhnyj,24,Krym,
Al'met'evsk,,146309,,Privolzhskij,25,Tatarstan,
Amursk,,42977,,Dal'nevostochnyj,26,Habarovskij kraj,
Anadyr',,13053,,Dal'nevostochnyj,27,Chukotskij AO,
Anapa,,58983,,Juzhnyj,28,Krasnodarskij kraj,
Angarsk,,233765,,Sibirskij,29,Irkutskaja oblast',
Andreapol',,8265,,Tsentral'nyj,30,Tverskaja oblast',
Anzhero-Sudzhensk,,76669,,Sibirskij,31,Kemerovskaja oblast',
Aniva,,8449,,Dal'nevostochnyj,32,Sahalinskaja oblast',
Apatity,,59690,,Severo-Zapadnyj,33,Murmanskaja oblast',
Aprelevka,,18467,,Tsentral'nyj,34,Moskovskaja oblast',
Apsheronsk,,40229,,Juzhnyj,35,Krasnodarskij kraj,
Aramil',,14227,,Ural'skij,36,Sverdlovskaja oblast',
Argun,,29528,,Severo-Kavkazskij,37,Chechnja,
Ardatov,,9400,,Privolzhskij,38,Mordovija,
Ardon,,18774,,Severo-Kavkazskij,39,Severnaja Osetija - Alanija,
Arzamas,,106367,,Privolzhskij,40,Nizhegorodskaja oblast',
Arkadak,,12846,,Privolzhskij,41,Saratovskaja oblast',
Armavir,,188897,,Juzhnyj,42,Krasnodarskij kraj,
ArmjanskOsparivaetsja,,21987,,Juzhnyj,43,Krym,
Arsen'ev,,56742,,Dal'nevostochnyj,44,Primorskij kraj,
Arsk,,18114,,Privolzhskij,45,Tatarstan,
Artem,,102636,,Dal'nevostochnyj,46,Primorskij kraj,
Artemovsk,,2180,,Sibirskij,47,Krasnojarskij kraj,
Artemovskij,,32878,,Ural'skij,48,Sverdlovskaja oblast',
Arhangel'sk,,348716,,Severo-Zapadnyj,49,Arhangel'skaja oblast',
Asbest,,70067,,Ural'skij,50,Sverdlovskaja oblast',
Asino,,25614,,Sibirskij,51,Tomskaja oblast',
Astrahan',,520662,,Juzhnyj,52,Astrahanskaja oblast',
Atkarsk,,25620,,Privolzhskij,53,Saratovskaja oblast',
Ahtubinsk,,41898,,Juzhnyj,54,Astrahanskaja oblast',
Achinsk,,109156,,Sibirskij,55,Krasnojarskij kraj,
Asha,,31916,,Ural'skij,56,Cheljabinskaja oblast',
Babaevo,,12074,,Severo-Zapadnyj,57,Vologodskaja oblast',
Babushkin,,4542,,Sibirskij,58,Burjatija,
Bavly,,22109,,Privolzhskij,59,Tatarstan,
Bagrationovsk,,6399,,Severo-Zapadnyj,60,Kaliningradskaja oblast',
Bajkal'sk,,13589,,Sibirskij,61,Irkutskaja oblast',
Bajmak,,17710,,Privolzhskij,62,Bashkortostan,
Bakal,,20953,,Ural'skij,63,Cheljabinskaja oblast',
Baksan,,36857,,Severo-Kavkazskij,64,Kabardino-Balkarija,
Balabanovo,,26337,,Tsentral'nyj,65,Kaluzhskaja oblast',
Balakovo,,199576,,Privolzhskij,66,Saratovskaja oblast',
