subiekt,plotn,tchel,km2,fo,nn,region
Абаза,,17111,,Сибирский,1,Хакасия,
Абакан,,165183,,Сибирский,2,Хакасия,
Абдулино,,20663,,Приволжский,3,Оренбургская область,
Абинск,,34926,,Южный,4,Краснодарский край,
Агидель,,16365,,Приволжский,5,Башкортостан,
Агрыз,,19299,,Приволжский,6,Татарстан,
Адыгейск,,12689,,Южный,7,Адыгея,
Азнакаево,,34859,,Приволжский,8,Татарстан,
Азов,,82882,,Южный,9,Ростовская область,
Ак-Довурак,,13469,,Сибирский,10,Тыва,
Аксай,,41984,,Южный,11,Ростовская область,
Алагир,,20949,,Северо-Кавказский,12,Северная Осетия - Алания,
Алапаевск,,38198,,Уральский,13,Свердловская область,
Алатырь,,38202,,Приволжский,14,Чувашия,
Алдан,,21277,,Дальневосточный,15,Якутия,
Алейск,,28528,,Сибирский,16,Алтайский край,
Александров,,61544,,Центральный,17,Владимирская область,
Александровск,,15022,,Приволжский,18,Пермский край,
Александровск-Сахалинский,,10613,,Дальневосточный,19,Сахалинская область,
Алексеевка,,39026,,Центральный,20,Белгородская область,
Алексин,,61738,,Центральный,21,Тульская область,
Алзамай,,6751,,Сибирский,22,Иркутская область,
АлупкаОспаривается,,7771,,Южный,23,Крым,
АлуштаОспаривается,,29078,,Южный,24,Крым,
Альметьевск,,146309,,Приволжский,25,Татарстан,
Амурск,,42977,,Дальневосточный,26,Хабаровский край,
Анадырь,,13053,,Дальневосточный,27,Чукотский АО,
Анапа,,58983,,Южный,28,Краснодарский край,
Ангарск,,233765,,Сибирский,29,Иркутская область,
Андреаполь,,8265,,Центральный,30,Тверская область,
Анжеро-Судженск,,76669,,Сибирский,31,Кемеровская область,
Анива,,8449,,Дальневосточный,32,Сахалинская область,
Апатиты,,59690,,Северо-Западный,33,Мурманская область,
Апрелевка,,18467,,Центральный,34,Московская область,
Апшеронск,,40229,,Южный,35,Краснодарский край,
Арамиль,,14227,,Уральский,36,Свердловская область,
Аргун,,29528,,Северо-Кавказский,37,Чечня,
Ардатов,,9400,,Приволжский,38,Мордовия,
Ардон,,18774,,Северо-Кавказский,39,Северная Осетия - Алания,
Арзамас,,106367,,Приволжский,40,Нижегородская область,
Аркадак,,12846,,Приволжский,41,Саратовская область,
Армавир,,188897,,Южный,42,Краснодарский край,
АрмянскОспаривается,,21987,,Южный,43,Крым,
Арсеньев,,56742,,Дальневосточный,44,Приморский край,
Арск,,18114,,Приволжский,45,Татарстан,
Артём,,102636,,Дальневосточный,46,Приморский край,
Артёмовск,,2180,,Сибирский,47,Красноярский край,
Артёмовский,,32878,,Уральский,48,Свердловская область,
Архангельск,,348716,,Северо-Западный,49,Архангельская область,
Асбест,,70067,,Уральский,50,Свердловская область,
Асино,,25614,,Сибирский,51,Томская область,
Астрахань,,520662,,Южный,52,Астраханская область,
Аткарск,,25620,,Приволжский,53,Саратовская область,
Ахтубинск,,41898,,Южный,54,Астраханская область,
Ачинск,,109156,,Сибирский,55,Красноярский край,
Аша,,31916,,Уральский,56,Челябинская область,
Бабаево,,12074,,Северо-Западный,57,Вологодская область,
Бабушкин,,4542,,Сибирский,58,Бурятия,
Бавлы,,22109,,Приволжский,59,Татарстан,
Багратионовск,,6399,,Северо-Западный,60,Калининградская область,
Байкальск,,13589,,Сибирский,61,Иркутская область,
